episode,reward,total_wait,epsilon
355,-8699.5,8763.5,0.0279
356,-979.0,1009.0,0.0277
357,-2493.75,2545.75,0.0274
358,-2892.75,2950.75,0.0271
359,-8127.75,8233.75,0.0268
360,-8506.5,8590.5,0.0266
361,-11808.9,11818.9,0.0263
362,-2201.5,2237.5,0.026
363,-6389.25,6460.25,0.0258
364,-756.0,784.0,0.0255
365,-5690.25,5724.25,0.0253
366,-2734.25,2802.25,0.025
367,-8047.75,8125.75,0.0248
368,-8616.75,8664.75,0.0245
369,-4720.25,4819.25,0.0243
370,-15414.7,15374.7,0.024
371,-4380.75,4412.75,0.0238
372,-5838.8,5742.8,0.0235
373,-14313.15,14320.15,0.0233
374,-5576.0,5653.0,0.0231
375,-1117.0,1143.0,0.0228
376,-1601.25,1635.25,0.0226
377,-2847.75,2906.75,0.0224
378,-9683.5,9786.5,0.0222
379,-14221.3,14130.3,0.0219
380,-1418.0,1441.0,0.0217
381,-4503.25,4575.25,0.0215
382,-4345.75,4425.75,0.0213
383,-7069.25,7167.25,0.0211
384,-14787.45,14804.45,0.0209
385,-1751.15,1763.15,0.0207
386,-4881.75,4941.75,0.0205
387,-10652.2,10640.2,0.0203
388,-14983.6,14993.6,0.02
389,-5886.0,5995.0,0.0198
390,-1948.25,1970.25,0.0196
391,-659.5,674.5,0.0195
392,-3711.25,3725.25,0.0193
393,-7356.75,7407.75,0.0191
394,-8460.15,8343.15,0.0189
395,-6837.5,6856.5,0.0187
396,-5484.0,5436.0,0.0185
397,-11221.35,11182.35,0.0183
398,-779.75,802.75,0.0181
399,-2657.75,2703.75,0.018
400,-1717.65,1743.65,0.0178
401,-693.5,733.5,0.0176
402,-10259.05,10275.05,0.0174
403,-11034.95,11032.95,0.0172
404,-9218.25,9338.25,0.0171
405,-4839.35,4789.35,0.0169
406,-1787.0,1833.0,0.0167
407,-1832.35,1760.35,0.0166
408,-7984.25,8014.25,0.0164
409,-5256.3,5227.3,0.0162
410,-6391.25,6465.25,0.0161
411,-4209.25,4271.25,0.0159
412,-2128.25,2173.25,0.0158
413,-1042.25,1091.25,0.0156
414,-1855.0,1877.0,0.0154
415,-8332.75,8421.75,0.0153
416,-4986.75,5081.75,0.0151
417,-6796.75,6843.75,0.015
418,-2276.75,2314.75,0.0148
419,-984.5,1017.5,0.0147
420,-12955.05,12958.05,0.0145
421,-1724.25,1763.25,0.0144
422,-6279.45,6245.45,0.0142
423,-3243.5,3303.5,0.0141
424,-2640.0,2665.0,0.014
425,-6850.5,6930.5,0.0138
426,-6347.3,6343.3,0.0137
427,-5714.45,5710.45,0.0135
428,-17350.35,17239.35,0.0134
429,-2697.25,2760.25,0.0133
430,-3094.25,3156.25,0.0131
431,-13833.9,13831.9,0.013
432,-6454.0,6551.0,0.0129
433,-1690.25,1710.25,0.0128
434,-4769.5,4822.5,0.0126
435,-3041.15,3030.15,0.0125
436,-9732.25,9795.25,0.0124
437,-8990.75,9094.75,0.0123
438,-1526.5,1587.5,0.0121
439,-2520.95,2481.95,0.012
440,-6214.5,6300.5,0.0119
441,-644.0,681.0,0.0118
442,-848.75,862.75,0.0117
443,-14404.4,14417.4,0.0115
444,-8514.0,8619.0,0.0114
445,-1047.5,1076.5,0.0113
446,-3354.0,3418.0,0.0112
447,-4014.05,4009.05,0.0111
448,-1187.5,1219.5,0.011
449,-4427.75,4431.75,0.0109
450,-2182.45,2191.45,0.0108
451,-1898.0,1946.0,0.0106
452,-9414.0,9478.0,0.0105
453,-2210.0,2240.0,0.0104
454,-20047.45,19997.45,0.0103
455,-12182.25,12089.25,0.0102
456,-11089.7,11091.7,0.0101
457,-3779.25,3792.25,0.01
458,-8063.75,8144.75,0.01
459,-12906.8,12911.8,0.01
460,-9236.0,9336.0,0.01
461,-8371.5,8459.5,0.01
462,-4503.85,4479.85,0.01
463,-8799.5,8841.5,0.01
464,-2465.5,2507.5,0.01
465,-13430.8,13418.8,0.01
466,-5555.45,5580.45,0.01
467,-19313.05,19158.05,0.01
468,-1021.5,1038.5,0.01
469,-9297.5,9407.5,0.01
470,-5720.75,5796.75,0.01
471,-4986.25,5069.25,0.01
472,-3685.0,3779.0,0.01
473,-2627.0,2669.0,0.01
474,-11782.2,11790.2,0.01
475,-7603.25,7664.25,0.01
476,-20762.05,20648.05,0.01
477,-8680.25,8756.25,0.01
478,-10009.75,10081.75,0.01
479,-5123.5,5163.5,0.01
480,-3571.1,3567.1,0.01
481,-9161.25,9270.25,0.01
482,-3425.5,3479.5,0.01
483,-2699.25,2742.25,0.01
484,-3031.8,3046.8,0.01
485,-8468.25,8493.25,0.01
486,-1054.0,1091.0,0.01
487,-2651.5,2724.5,0.01
488,-6757.0,6834.0,0.01
489,-7373.25,7462.25,0.01
490,-7907.25,7986.25,0.01
491,-9763.75,9887.75,0.01
492,-4932.2,4902.2,0.01
493,-3451.95,3441.95,0.01
494,-9245.7,9227.7,0.01
495,-2240.75,2301.75,0.01
496,-3861.75,3935.75,0.01
497,-7777.0,7862.0,0.01
498,-13112.0,13073.0,0.01
499,-7391.75,7499.75,0.01
500,-9553.75,9610.75,0.01
